variant,reasoning_order,total_trials,conforming_trials,resisting_trials,conformity_rate_total,conformity_rate_decided,cr_total_ci_lower,cr_total_ci_upper,cr_decided_ci_lower,cr_decided_ci_upper
base,answer_first,1889,794,91,0.4203,0.8972,0.3981,0.4431,0.8768,0.9164
base,social_first,3637,1075,660,0.2956,0.6196,0.2813,0.3104,0.5971,0.6415
base,answer_only,5534,2386,824,0.4312,0.7433,0.4181,0.4442,0.7277,0.7583
base,social_only,8929,1761,129,0.1972,0.9317,0.1888,0.2054,0.9201,0.9429
base,neither,6411,1778,88,0.2773,0.9528,0.2664,0.2884,0.9427,0.962
instruct,answer_first,1157,375,104,0.3241,0.7829,0.2973,0.3509,0.7453,0.8205
instruct,social_first,1021,337,138,0.3301,0.7095,0.3017,0.3595,0.6674,0.7495
instruct,answer_only,7499,1760,1592,0.2347,0.5251,0.2251,0.2442,0.5084,0.5418
instruct,social_only,1448,374,54,0.2583,0.8738,0.2355,0.2811,0.8411,0.9042
instruct,neither,15275,2794,83,0.1829,0.9712,0.1767,0.1891,0.9649,0.9771
instruct_sft,answer_first,646,269,38,0.4164,0.8762,0.3793,0.4551,0.8371,0.9121
instruct_sft,social_first,664,167,141,0.2515,0.5422,0.2184,0.2846,0.487,0.5974
instruct_sft,answer_only,8739,3043,1948,0.3482,0.6097,0.338,0.3582,0.5961,0.6229
instruct_sft,social_only,1134,290,22,0.2557,0.9295,0.2302,0.2813,0.9006,0.9551
instruct_sft,neither,15217,3398,132,0.2233,0.9626,0.2167,0.23,0.9561,0.9688
instruct_dpo,answer_first,1783,531,203,0.2978,0.7234,0.2765,0.3191,0.6907,0.7548
instruct_dpo,social_first,1937,642,215,0.3314,0.7491,0.3108,0.3531,0.72,0.7783
instruct_dpo,answer_only,8143,1778,2025,0.2183,0.4675,0.2094,0.2273,0.4515,0.4833
instruct_dpo,social_only,2572,561,77,0.2181,0.8793,0.2022,0.2344,0.8527,0.9044
instruct_dpo,neither,11965,1792,138,0.1498,0.9285,0.1435,0.1562,0.9171,0.9399
think,answer_first,6253,2435,679,0.3894,0.782,0.3776,0.4014,0.7675,0.7964
think,social_first,6280,1699,463,0.2705,0.7858,0.2596,0.2814,0.7683,0.803
think,answer_only,2318,492,1006,0.2123,0.3284,0.1959,0.2291,0.3051,0.3525
think,social_only,6788,1393,39,0.2052,0.9728,0.1956,0.2148,0.9637,0.9804
think,neither,4761,977,52,0.2052,0.9495,0.1937,0.2166,0.9359,0.9631
think_sft,answer_first,6851,2452,1044,0.3579,0.7014,0.3467,0.3691,0.6862,0.7165
think_sft,social_first,6142,1507,711,0.2454,0.6794,0.2349,0.2558,0.6601,0.6993
think_sft,answer_only,2224,427,995,0.192,0.3003,0.1758,0.2086,0.2764,0.3242
think_sft,social_only,6904,1375,76,0.1992,0.9476,0.1897,0.2086,0.9359,0.9586
think_sft,neither,4279,831,92,0.1942,0.9003,0.1823,0.2061,0.8808,0.9187
think_dpo,answer_first,6729,2343,1041,0.3482,0.6924,0.3366,0.3596,0.6767,0.7077
think_dpo,social_first,6109,1542,1008,0.2524,0.6047,0.2414,0.2634,0.5855,0.6239
think_dpo,answer_only,2452,457,1049,0.1864,0.3035,0.1713,0.2019,0.2802,0.3267
think_dpo,social_only,6468,1603,91,0.2478,0.9463,0.2376,0.2585,0.9351,0.9569
think_dpo,neither,4582,716,116,0.1563,0.8606,0.1454,0.1665,0.8365,0.8846
