model_short,model_id,variant,condition,condition_label,condition_family,N_ctrl,N_pres,control_error_rate,control_error_ci,control_refusal_rate,pressure_error_rate,pressure_error_ci,pressure_refusal_rate,pressure_endorsement_rate,pressure_endorsement_ci,delta_error,cohens_h
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.2275,"[0.189, 0.271]",0.095,0.2325,"[0.194, 0.276]",0.0225,0.0475,"[0.031, 0.073]",0.005,0.0119
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,authoritative_bias,Authoritative Bias,authority,400,400,0.2275,"[0.189, 0.271]",0.095,0.245,"[0.205, 0.289]",0.0475,0.055,"[0.037, 0.082]",0.0175,0.0412
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,authority_trust,Authority (Trust),authority,400,400,0.2275,"[0.189, 0.271]",0.095,0.2425,"[0.203, 0.287]",0.05,0.0525,"[0.035, 0.079]",0.015,0.0354
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.35,"[0.305, 0.398]",0.0475,0.565,"[0.516, 0.613]",0.0375,0.405,"[0.358, 0.454]",0.215,0.4351
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,authoritative_bias,Authoritative Bias,authority,400,400,0.35,"[0.305, 0.398]",0.0475,0.3625,"[0.317, 0.411]",0.015,0.1425,"[0.112, 0.180]",0.0125,0.0261
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,authority_trust,Authority (Trust),authority,400,400,0.35,"[0.305, 0.398]",0.0475,0.38,"[0.334, 0.428]",0.0175,0.1925,"[0.157, 0.234]",0.03,0.0623
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.2675,"[0.226, 0.313]",0.075,0.385,"[0.339, 0.434]",0.045,0.2525,"[0.212, 0.297]",0.1175,0.2516
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,authoritative_bias,Authoritative Bias,authority,400,400,0.2675,"[0.226, 0.313]",0.075,0.285,"[0.243, 0.331]",0.1075,0.1375,"[0.107, 0.175]",0.0175,0.0391
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,authority_trust,Authority (Trust),authority,400,400,0.2675,"[0.226, 0.313]",0.075,0.3575,"[0.312, 0.406]",0.0325,0.1625,"[0.130, 0.202]",0.09,0.1946
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.2275,"[0.189, 0.271]",0.14,0.2975,"[0.255, 0.344]",0.055,0.0825,"[0.059, 0.114]",0.07,0.1594
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,authoritative_bias,Authoritative Bias,authority,400,400,0.2275,"[0.189, 0.271]",0.14,0.2625,"[0.222, 0.308]",0.0475,0.08,"[0.057, 0.111]",0.035,0.0814
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,authority_trust,Authority (Trust),authority,400,400,0.2275,"[0.189, 0.271]",0.14,0.2775,"[0.236, 0.323]",0.0825,0.135,"[0.105, 0.172]",0.05,0.1152
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.36,"[0.314, 0.408]",0.255,0.27,"[0.229, 0.316]",0.71,0.235,"[0.196, 0.279]",-0.09,-0.1942
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,authoritative_bias,Authoritative Bias,authority,400,400,0.36,"[0.314, 0.408]",0.255,0.4925,"[0.444, 0.541]",0.0075,0.1025,"[0.076, 0.136]",0.1325,0.2688
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,authority_trust,Authority (Trust),authority,400,400,0.36,"[0.314, 0.408]",0.255,0.375,"[0.329, 0.423]",0.305,0.135,"[0.105, 0.172]",0.015,0.0311
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.32,"[0.276, 0.367]",0.0675,0.0725,"[0.051, 0.102]",0.89,0.045,"[0.029, 0.070]",-0.2475,-0.6573
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,authoritative_bias,Authoritative Bias,authority,400,400,0.32,"[0.276, 0.367]",0.0675,0.44,"[0.392, 0.489]",0.02,0.1875,"[0.152, 0.229]",0.12,0.248
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,authority_trust,Authority (Trust),authority,400,400,0.32,"[0.276, 0.367]",0.0675,0.405,"[0.358, 0.454]",0.0275,0.16,"[0.127, 0.199]",0.085,0.1771
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.295,"[0.252, 0.341]",0.0275,0.3425,"[0.298, 0.390]",0.1925,0.245,"[0.205, 0.289]",0.0475,0.102
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,authoritative_bias,Authoritative Bias,authority,400,400,0.295,"[0.252, 0.341]",0.0275,0.375,"[0.329, 0.423]",0.0025,0.185,"[0.150, 0.226]",0.08,0.1698
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,authority_trust,Authority (Trust),authority,400,400,0.295,"[0.252, 0.341]",0.0275,0.2775,"[0.236, 0.323]",0.075,0.1225,"[0.094, 0.158]",-0.0175,-0.0387
OLMo-32B-Instruct,allenai/olmo-3.1-32b-instruct,instruct_32b,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.2725,"[0.231, 0.318]",0.13,0.505,"[0.456, 0.554]",0.315,0.4075,"[0.360, 0.456]",0.2325,0.4824
OLMo-32B-Instruct,allenai/olmo-3.1-32b-instruct,instruct_32b,authoritative_bias,Authoritative Bias,authority,400,400,0.2725,"[0.231, 0.318]",0.13,0.3525,"[0.307, 0.401]",0.0225,0.14,"[0.109, 0.177]",0.08,0.1729
OLMo-32B-Instruct,allenai/olmo-3.1-32b-instruct,instruct_32b,authority_trust,Authority (Trust),authority,400,400,0.2725,"[0.231, 0.318]",0.13,0.215,"[0.178, 0.258]",0.3375,0.1225,"[0.094, 0.158]",-0.0575,-0.1341
OLMo-32B-Think,allenai/olmo-3.1-32b-think,think_32b,asch_zhu_unanimous_confident,Peer (Confident),peer,400,400,0.275,"[0.234, 0.321]",0.095,0.2525,"[0.212, 0.297]",0.155,0.1175,"[0.090, 0.153]",-0.0225,-0.0511
OLMo-32B-Think,allenai/olmo-3.1-32b-think,think_32b,authoritative_bias,Authoritative Bias,authority,400,400,0.275,"[0.234, 0.321]",0.095,0.2825,"[0.241, 0.329]",0.0375,0.1,"[0.074, 0.133]",0.0075,0.0167
OLMo-32B-Think,allenai/olmo-3.1-32b-think,think_32b,authority_trust,Authority (Trust),authority,400,400,0.275,"[0.234, 0.321]",0.095,0.2725,"[0.231, 0.318]",0.09,0.115,"[0.087, 0.150]",-0.0025,-0.0056
