location,uuid,model_id,variant,temperature,total_trials,has_judge,missing_judge,missing_%
runs,a34ad9b1-abd0-4119-96c6-7b1cd61d7f4d,allenai/olmo-3.1-32b-think,think_32b,0.0,1600,0,1600,100.0
runs,7db9896e-9e3b-439f-88e3-74fe25ea2bad,allenai/olmo-3.1-32b-think,think_32b,0.6,1600,0,1600,100.0
runs,49d07104-c14c-4a8b-a013-ae0783c5f3e8,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,1600,0,1600,100.0
runs,e043fbf6-27eb-410c-8da7-bc0f9172ab0b,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,1600,0,1600,100.0
runs,d71e75b1-17c5-4789-8ee7-13b29ef18359,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,1600,0,1600,100.0
runs,25056752-7081-449e-9a44-ad090b566107,x-ai/grok-4.1-fast,grok_41_fast,0.0,1600,0,1600,100.0
runs,157a6a9e-13de-4bdb-bdd2-54d761498f24,x-ai/grok-4.1-fast,grok_41_fast,0.6,1600,0,1600,100.0
runs,c07ede3a-16ac-4b47-ac42-4f6ad8dd8370,openai/gpt-4o-mini,gpt4o_mini,0.0,1600,0,1600,100.0
runs,eb63d212-77fe-46ef-965b-7777cc232f1f,openai/gpt-4o-mini,gpt4o_mini,0.6,1600,0,1600,100.0
runs,3ecdc9b7-49db-4625-b90e-fc3745b9224e,openai/gpt-oss-20b,gpt_oss_20b,0.6,1600,0,1600,100.0
runs/think,f47fe05e-4564-4680-a2d8-39a88c6f8d37,allenai/Olmo-3-7B-Think,think,0.0,1609,1135,474,29.5
runs,66765d5e-204c-4074-aaf4-b9c148fe61a5,openai/gpt-oss-20b,gpt_oss_20b,0.0,143,0,143,100.0
runs,3a0404f7-bd47-4b25-b2e2-5501e550566f,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,1600,1592,8,0.5
runs,1899a883-82e4-45f3-833a-d6403cf1ac95,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.0,1600,1596,4,0.2
runs,485ddc2d-6cae-4715-835e-76ab72e38159,meta-llama/llama-4-maverick,llama4_maverick,0.0,1600,1596,4,0.2
runs,62187f52-7a7e-4db0-a269-d14d8e887b1b,allenai/olmo-3.1-32b-instruct,instruct_32b,0.6,1600,1597,3,0.2
runs,70860876-c5c2-4445-a59d-e44ae8094887,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,1600,1598,2,0.1
runs,c2ce0f85-8f67-40f2-a82d-e136927cf6f5,meta-llama/llama-4-maverick,llama4_maverick,0.6,1600,1599,1,0.1
