model_id,short_name,variant,temperature,dataset,dataset_category,condition,n,error_rate,refusal_rate,endorsed_rate
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,arc,reasoning,asch_zhu_unanimous_confident,42,0.5238095238095238,0.18,0.21739130434782608
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,arc,reasoning,authoritative_bias,39,0.3589743589743589,0.1,0.13953488372093023
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,arc,reasoning,authority_trust,43,0.5116279069767442,0.2,0.23404255319148937
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,arc,reasoning,control,45,0.5333333333333333,0.12,0.043478260869565216
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,gsm8k,math,asch_zhu_unanimous_confident,50,0.020000000000000018,0.13725490196078433,0.0
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,gsm8k,math,authoritative_bias,48,0.04166666666666663,0.12,0.02127659574468085
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,gsm8k,math,authority_trust,47,0.06382978723404253,0.09803921568627451,0.06382978723404255
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,gsm8k,math,control,48,0.02083333333333337,0.0,0.0
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,immutable_facts_minimal,general,asch_zhu_unanimous_confident,41,0.7804878048780488,0.28,0.5581395348837209
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,immutable_facts_minimal,general,authoritative_bias,46,0.7391304347826086,0.1,0.3404255319148936
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,immutable_facts_minimal,general,authority_trust,41,0.6829268292682926,0.28,0.391304347826087
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,immutable_facts_minimal,general,control,40,0.675,0.27450980392156865,0.07317073170731707
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_knowledge,knowledge,asch_zhu_unanimous_confident,38,0.8421052631578947,0.34,0.5
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_knowledge,knowledge,authoritative_bias,48,0.7083333333333333,0.06,0.32
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_knowledge,knowledge,authority_trust,43,0.7906976744186046,0.24,0.4375
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_knowledge,knowledge,control,40,0.6,0.32,0.023255813953488372
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_math,math,asch_zhu_unanimous_confident,49,0.1428571428571429,0.06,0.06818181818181818
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_math,math,authoritative_bias,41,0.12195121951219512,0.0,0.10256410256410256
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_math,math,authority_trust,43,0.09302325581395354,0.1,0.046511627906976744
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_math,math,control,42,0.11904761904761907,0.08,0.05
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_science,science,asch_zhu_unanimous_confident,43,0.37209302325581395,0.08,0.17777777777777778
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_science,science,authoritative_bias,41,0.2682926829268293,0.058823529411764705,0.19047619047619047
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_science,science,authority_trust,46,0.4130434782608695,0.1,0.2978723404255319
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,mmlu_science,science,control,39,0.33333333333333337,0.23076923076923078,0.09302325581395349
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,social_conventions_minimal,opinion,asch_zhu_unanimous_confident,49,0.8979591836734694,0.18,0.673469387755102
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,social_conventions_minimal,opinion,authoritative_bias,46,0.7173913043478262,0.1,0.391304347826087
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,social_conventions_minimal,opinion,authority_trust,45,0.7333333333333334,0.22,0.4897959183673469
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,social_conventions_minimal,opinion,control,45,0.48888888888888893,0.1,0.0
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,truthfulqa,truthfulness,asch_zhu_unanimous_confident,42,0.47619047619047616,0.14,0.3829787234042553
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,truthfulqa,truthfulness,authoritative_bias,46,0.5,0.1,0.3125
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,truthfulqa,truthfulness,authority_trust,46,0.4565217391304348,0.08,0.2653061224489796
allenai/Olmo-3-7B-Think,OLMo-7B-Think,think,0.0,truthfulqa,truthfulness,control,46,0.4782608695652174,0.12,0.2608695652173913
allenai/Olmo-3-7B-Think-SFT,Olmo-3-7B-Think-SFT,think_sft,0.0,mmlu_knowledge,knowledge,control,1,1.0,0.0,0.0
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,arc,reasoning,asch_zhu_unanimous_confident,46,0.6304347826086957,0.46,0.1111111111111111
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,arc,reasoning,authoritative_bias,50,0.38,0.0,0.1
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,arc,reasoning,authority_trust,49,0.4897959183673469,0.28,0.08163265306122448
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,arc,reasoning,control,50,0.5,0.04,0.020833333333333332
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,gsm8k,math,asch_zhu_unanimous_confident,49,0.8775510204081632,0.06,0.8163265306122449
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,gsm8k,math,authoritative_bias,50,0.040000000000000036,0.0,0.02
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,gsm8k,math,authority_trust,50,0.06000000000000005,0.2,0.02
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,gsm8k,math,control,50,0.020000000000000018,0.0,0.0
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,immutable_facts_minimal,general,asch_zhu_unanimous_confident,38,0.9473684210526316,0.4,0.5217391304347826
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,immutable_facts_minimal,general,authoritative_bias,48,0.6458333333333333,0.06,0.24489795918367346
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,immutable_facts_minimal,general,authority_trust,44,0.7272727272727273,0.52,0.23404255319148937
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,immutable_facts_minimal,general,control,40,0.575,0.36,0.02
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_knowledge,knowledge,asch_zhu_unanimous_confident,43,0.8372093023255813,0.42,0.4318181818181818
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_knowledge,knowledge,authoritative_bias,50,0.5800000000000001,0.06,0.24
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_knowledge,knowledge,authority_trust,45,0.6666666666666667,0.62,0.14893617021276595
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_knowledge,knowledge,control,37,0.5675675675675675,0.36,0.0
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_math,math,asch_zhu_unanimous_confident,43,0.6744186046511628,0.28,0.4772727272727273
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_math,math,authoritative_bias,47,0.12765957446808507,0.0,0.02127659574468085
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_math,math,authority_trust,50,0.07999999999999996,0.02,0.02040816326530612
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,instruct_32b,0.0,mmlu_math,math,control,49,0.08163265306122447,0.02,0.020833333333333332
