# truth_rescue per (T, variant, category, condition) — judge-labeled
# Generated: 2026-03-08T02:29:14.836704
# Rows: 3207
# Script: generate_publication_item_set.py
temperature,variant,dataset_category,truth_rescue_rate,n_items,pressure_condition
0.0,base,general,0.08,25,asch_history_5
0.0,base,knowledge,0.11538461538461539,26,asch_history_5
0.0,base,math,0.12244897959183673,49,asch_history_5
0.0,base,opinion,0.0,18,asch_history_5
0.0,base,reasoning,0.06666666666666667,15,asch_history_5
0.0,base,science,0.08333333333333333,24,asch_history_5
0.0,base,truthfulness,0.14285714285714285,21,asch_history_5
0.0,instruct,general,0.1,20,asch_history_5
0.0,instruct,knowledge,0.2,20,asch_history_5
0.0,instruct,math,0.058823529411764705,17,asch_history_5
0.0,instruct,opinion,0.13333333333333333,15,asch_history_5
0.0,instruct,reasoning,0.3076923076923077,13,asch_history_5
0.0,instruct,science,0.2777777777777778,18,asch_history_5
0.0,instruct,truthfulness,0.13333333333333333,15,asch_history_5
0.0,instruct_dpo,general,0.2608695652173913,23,asch_history_5
0.0,instruct_dpo,knowledge,0.2608695652173913,23,asch_history_5
0.0,instruct_dpo,math,0.0,17,asch_history_5
0.0,instruct_dpo,opinion,0.21052631578947367,19,asch_history_5
0.0,instruct_dpo,reasoning,0.2777777777777778,18,asch_history_5
0.0,instruct_dpo,science,0.15789473684210525,19,asch_history_5
0.0,instruct_dpo,truthfulness,0.35294117647058826,17,asch_history_5
0.0,instruct_sft,general,0.041666666666666664,24,asch_history_5
0.0,instruct_sft,knowledge,0.043478260869565216,23,asch_history_5
0.0,instruct_sft,math,0.043478260869565216,23,asch_history_5
0.0,instruct_sft,opinion,0.0,20,asch_history_5
0.0,instruct_sft,reasoning,0.0,22,asch_history_5
0.0,instruct_sft,science,0.1111111111111111,18,asch_history_5
0.0,instruct_sft,truthfulness,0.0,16,asch_history_5
0.0,think,general,0.25,4,asch_history_5
0.0,think,knowledge,0.0,3,asch_history_5
0.0,think,math,0.26666666666666666,15,asch_history_5
0.0,think,opinion,0.0,3,asch_history_5
0.0,think,reasoning,0.0,5,asch_history_5
0.0,think,science,0.2,5,asch_history_5
0.0,think,truthfulness,0.25,8,asch_history_5
0.0,think_dpo,general,0.0,5,asch_history_5
0.0,think_dpo,knowledge,0.0,6,asch_history_5
0.0,think_dpo,math,0.3076923076923077,13,asch_history_5
0.0,think_dpo,opinion,0.16666666666666666,6,asch_history_5
0.0,think_dpo,reasoning,0.0,5,asch_history_5
0.0,think_dpo,science,0.16666666666666666,6,asch_history_5
0.0,think_dpo,truthfulness,0.1111111111111111,9,asch_history_5
0.0,think_sft,general,0.14285714285714285,7,asch_history_5
0.0,think_sft,knowledge,0.16666666666666666,6,asch_history_5
0.0,think_sft,math,0.5454545454545454,11,asch_history_5
0.0,think_sft,opinion,0.3333333333333333,6,asch_history_5
0.0,think_sft,reasoning,0.2222222222222222,9,asch_history_5
0.0,think_sft,science,0.4,5,asch_history_5
0.0,think_sft,truthfulness,0.1111111111111111,9,asch_history_5
0.2,base,general,0.0,22,asch_history_5
0.2,base,knowledge,0.09523809523809523,21,asch_history_5
0.2,base,math,0.0851063829787234,47,asch_history_5
0.2,base,opinion,0.0,16,asch_history_5
0.2,base,reasoning,0.15384615384615385,13,asch_history_5
0.2,base,science,0.17391304347826086,23,asch_history_5
0.2,base,truthfulness,0.13636363636363635,22,asch_history_5
0.2,instruct,general,0.125,16,asch_history_5
0.2,instruct,knowledge,0.1875,16,asch_history_5
0.2,instruct,math,0.05555555555555555,18,asch_history_5
0.2,instruct,opinion,0.06666666666666667,15,asch_history_5
0.2,instruct,reasoning,0.23529411764705882,17,asch_history_5
0.2,instruct,science,0.2777777777777778,18,asch_history_5
0.2,instruct,truthfulness,0.14285714285714285,14,asch_history_5
0.2,instruct_dpo,general,0.34782608695652173,23,asch_history_5
0.2,instruct_dpo,knowledge,0.2727272727272727,22,asch_history_5
0.2,instruct_dpo,math,0.07692307692307693,13,asch_history_5
0.2,instruct_dpo,opinion,0.35294117647058826,17,asch_history_5
0.2,instruct_dpo,reasoning,0.2631578947368421,19,asch_history_5
0.2,instruct_dpo,science,0.2857142857142857,21,asch_history_5
0.2,instruct_dpo,truthfulness,0.375,16,asch_history_5
0.2,instruct_sft,general,0.0,22,asch_history_5
0.2,instruct_sft,knowledge,0.08695652173913043,23,asch_history_5
0.2,instruct_sft,math,0.07142857142857142,14,asch_history_5
0.2,instruct_sft,opinion,0.0,21,asch_history_5
0.2,instruct_sft,reasoning,0.09090909090909091,22,asch_history_5
0.2,instruct_sft,science,0.2,20,asch_history_5
0.2,instruct_sft,truthfulness,0.0,16,asch_history_5
0.2,think,general,0.0,5,asch_history_5
0.2,think,knowledge,0.3333333333333333,6,asch_history_5
0.2,think,math,0.2857142857142857,14,asch_history_5
0.2,think,opinion,0.5,6,asch_history_5
0.2,think,reasoning,0.0,3,asch_history_5
0.2,think,science,0.5,2,asch_history_5
0.2,think,truthfulness,0.125,8,asch_history_5
0.2,think_dpo,general,0.16666666666666666,6,asch_history_5
0.2,think_dpo,knowledge,0.5,6,asch_history_5
0.2,think_dpo,math,0.08333333333333333,12,asch_history_5
0.2,think_dpo,opinion,0.0,7,asch_history_5
0.2,think_dpo,reasoning,0.25,4,asch_history_5
0.2,think_dpo,science,0.5,6,asch_history_5
0.2,think_dpo,truthfulness,0.14285714285714285,7,asch_history_5
0.2,think_sft,general,0.14285714285714285,7,asch_history_5
0.2,think_sft,knowledge,0.25,8,asch_history_5
0.2,think_sft,math,0.13333333333333333,15,asch_history_5
0.2,think_sft,opinion,0.16666666666666666,6,asch_history_5
0.2,think_sft,reasoning,0.375,8,asch_history_5
0.2,think_sft,science,0.25,4,asch_history_5
0.2,think_sft,truthfulness,0.1,10,asch_history_5
0.4,base,general,0.07142857142857142,28,asch_history_5
0.4,base,knowledge,0.10714285714285714,28,asch_history_5
0.4,base,math,0.2564102564102564,39,asch_history_5
0.4,base,opinion,0.0,15,asch_history_5
0.4,base,reasoning,0.17647058823529413,17,asch_history_5
0.4,base,science,0.1111111111111111,27,asch_history_5
0.4,base,truthfulness,0.05263157894736842,19,asch_history_5
0.4,instruct,general,0.2,20,asch_history_5
0.4,instruct,knowledge,0.13333333333333333,15,asch_history_5
0.4,instruct,math,0.08333333333333333,24,asch_history_5
0.4,instruct,opinion,0.21428571428571427,14,asch_history_5
0.4,instruct,reasoning,0.38461538461538464,13,asch_history_5
0.4,instruct,science,0.14285714285714285,14,asch_history_5
0.4,instruct,truthfulness,0.17647058823529413,17,asch_history_5
0.4,instruct_dpo,general,0.3181818181818182,22,asch_history_5
0.4,instruct_dpo,knowledge,0.29411764705882354,17,asch_history_5
0.4,instruct_dpo,math,0.125,16,asch_history_5
0.4,instruct_dpo,opinion,0.13333333333333333,15,asch_history_5
0.4,instruct_dpo,reasoning,0.2,15,asch_history_5
0.4,instruct_dpo,science,0.125,16,asch_history_5
0.4,instruct_dpo,truthfulness,0.2857142857142857,14,asch_history_5
0.4,instruct_sft,general,0.041666666666666664,24,asch_history_5
0.4,instruct_sft,knowledge,0.043478260869565216,23,asch_history_5
0.4,instruct_sft,math,0.1111111111111111,18,asch_history_5
0.4,instruct_sft,opinion,0.0,18,asch_history_5
0.4,instruct_sft,reasoning,0.07407407407407407,27,asch_history_5
0.4,instruct_sft,science,0.07142857142857142,14,asch_history_5
0.4,instruct_sft,truthfulness,0.05555555555555555,18,asch_history_5
0.4,think,general,0.0,6,asch_history_5
0.4,think,knowledge,0.3333333333333333,6,asch_history_5
0.4,think,math,0.07692307692307693,13,asch_history_5
0.4,think,opinion,0.0,1,asch_history_5
0.4,think,reasoning,0.0,4,asch_history_5
0.4,think,science,0.25,4,asch_history_5
0.4,think,truthfulness,0.0,7,asch_history_5
0.4,think_dpo,general,0.3333333333333333,3,asch_history_5
0.4,think_dpo,knowledge,0.0,5,asch_history_5
0.4,think_dpo,math,0.07142857142857142,14,asch_history_5
0.4,think_dpo,opinion,0.25,4,asch_history_5
0.4,think_dpo,reasoning,0.0,5,asch_history_5
0.4,think_dpo,science,0.0,6,asch_history_5
0.4,think_dpo,truthfulness,0.16666666666666666,12,asch_history_5
0.4,think_sft,general,0.1,10,asch_history_5
0.4,think_sft,knowledge,0.16666666666666666,12,asch_history_5
0.4,think_sft,math,0.26666666666666666,15,asch_history_5
0.4,think_sft,opinion,0.0,4,asch_history_5
0.4,think_sft,reasoning,0.25,4,asch_history_5
0.4,think_sft,science,0.0,2,asch_history_5
0.4,think_sft,truthfulness,0.2727272727272727,11,asch_history_5
0.6,base,general,0.08,25,asch_history_5
0.6,base,knowledge,0.08,25,asch_history_5
0.6,base,math,0.2564102564102564,39,asch_history_5
0.6,base,opinion,0.0,14,asch_history_5
0.6,base,reasoning,0.15789473684210525,19,asch_history_5
0.6,base,science,0.08,25,asch_history_5
0.6,base,truthfulness,0.05,20,asch_history_5
0.6,instruct,general,0.16666666666666666,18,asch_history_5
0.6,instruct,knowledge,0.10526315789473684,19,asch_history_5
0.6,instruct,math,0.15789473684210525,19,asch_history_5
0.6,instruct,opinion,0.21428571428571427,14,asch_history_5
0.6,instruct,reasoning,0.375,16,asch_history_5
0.6,instruct,science,0.13333333333333333,15,asch_history_5
0.6,instruct,truthfulness,0.1875,16,asch_history_5
0.6,instruct_dpo,general,0.4,25,asch_history_5
0.6,instruct_dpo,knowledge,0.2608695652173913,23,asch_history_5
0.6,instruct_dpo,math,0.07142857142857142,14,asch_history_5
0.6,instruct_dpo,opinion,0.13333333333333333,15,asch_history_5
0.6,instruct_dpo,reasoning,0.2222222222222222,18,asch_history_5
0.6,instruct_dpo,science,0.0625,16,asch_history_5
0.6,instruct_dpo,truthfulness,0.14285714285714285,14,asch_history_5
0.6,instruct_sft,general,0.08333333333333333,24,asch_history_5
0.6,instruct_sft,knowledge,0.038461538461538464,26,asch_history_5
0.6,instruct_sft,math,0.13636363636363635,22,asch_history_5
0.6,instruct_sft,opinion,0.05,20,asch_history_5
0.6,instruct_sft,reasoning,0.0,27,asch_history_5
0.6,instruct_sft,science,0.05555555555555555,18,asch_history_5
0.6,instruct_sft,truthfulness,0.0,17,asch_history_5
0.6,think,general,0.2857142857142857,7,asch_history_5
0.6,think,knowledge,0.25,8,asch_history_5
0.6,think,math,0.0,11,asch_history_5
0.6,think,opinion,0.2,5,asch_history_5
0.6,think,reasoning,0.2,5,asch_history_5
0.6,think,science,0.0,6,asch_history_5
0.6,think,truthfulness,0.125,8,asch_history_5
0.6,think_dpo,general,0.14285714285714285,7,asch_history_5
0.6,think_dpo,knowledge,0.2857142857142857,7,asch_history_5
0.6,think_dpo,math,0.17647058823529413,17,asch_history_5
0.6,think_dpo,opinion,0.0,4,asch_history_5
0.6,think_dpo,reasoning,0.42857142857142855,7,asch_history_5
0.6,think_dpo,science,0.5,4,asch_history_5
0.6,think_dpo,truthfulness,0.3,10,asch_history_5
0.6,think_sft,general,0.25,8,asch_history_5
0.6,think_sft,knowledge,0.1,10,asch_history_5
0.6,think_sft,math,0.2,15,asch_history_5
0.6,think_sft,opinion,0.2857142857142857,7,asch_history_5
0.6,think_sft,reasoning,0.2857142857142857,7,asch_history_5
0.6,think_sft,science,0.3333333333333333,6,asch_history_5
0.6,think_sft,truthfulness,0.25,8,asch_history_5
0.8,base,general,0.25,32,asch_history_5
0.8,base,knowledge,0.2222222222222222,27,asch_history_5
0.8,base,math,0.27419354838709675,62,asch_history_5
0.8,base,opinion,0.2413793103448276,29,asch_history_5
0.8,base,reasoning,0.25,28,asch_history_5
0.8,base,science,0.4,25,asch_history_5
0.8,base,truthfulness,0.32142857142857145,28,asch_history_5
0.8,instruct,general,0.25,32,asch_history_5
0.8,instruct,knowledge,0.19230769230769232,26,asch_history_5
0.8,instruct,math,0.3695652173913043,46,asch_history_5
0.8,instruct,opinion,0.25,28,asch_history_5
0.8,instruct,reasoning,0.38461538461538464,26,asch_history_5
0.8,instruct,science,0.3333333333333333,30,asch_history_5
0.8,instruct,truthfulness,0.3548387096774194,31,asch_history_5
0.8,instruct_dpo,general,0.2,30,asch_history_5
0.8,instruct_dpo,knowledge,0.1875,32,asch_history_5
0.8,instruct_dpo,math,0.2682926829268293,41,asch_history_5
0.8,instruct_dpo,opinion,0.12,25,asch_history_5
0.8,instruct_dpo,reasoning,0.36363636363636365,22,asch_history_5
0.8,instruct_dpo,science,0.38461538461538464,26,asch_history_5
0.8,instruct_dpo,truthfulness,0.3333333333333333,24,asch_history_5
0.8,instruct_sft,general,0.06451612903225806,31,asch_history_5
0.8,instruct_sft,knowledge,0.03333333333333333,30,asch_history_5
0.8,instruct_sft,math,0.23684210526315788,38,asch_history_5
0.8,instruct_sft,opinion,0.08,25,asch_history_5
0.8,instruct_sft,reasoning,0.12903225806451613,31,asch_history_5
0.8,instruct_sft,science,0.3684210526315789,19,asch_history_5
0.8,instruct_sft,truthfulness,0.037037037037037035,27,asch_history_5
0.8,think,general,0.3333333333333333,15,asch_history_5
0.8,think,knowledge,0.15789473684210525,19,asch_history_5
0.8,think,math,0.41379310344827586,29,asch_history_5
0.8,think,opinion,0.25,20,asch_history_5
0.8,think,reasoning,0.25,20,asch_history_5
0.8,think,science,0.6111111111111112,18,asch_history_5
0.8,think,truthfulness,0.2916666666666667,24,asch_history_5
0.8,think_dpo,general,0.3333333333333333,15,asch_history_5
0.8,think_dpo,knowledge,0.1,20,asch_history_5
0.8,think_dpo,math,0.10526315789473684,57,asch_history_5
0.8,think_dpo,opinion,0.024390243902439025,41,asch_history_5
0.8,think_dpo,reasoning,0.05405405405405406,37,asch_history_5
0.8,think_dpo,science,0.3333333333333333,21,asch_history_5
0.8,think_dpo,truthfulness,0.07142857142857142,42,asch_history_5
0.8,think_sft,general,0.35,20,asch_history_5
0.8,think_sft,knowledge,0.30434782608695654,23,asch_history_5
0.8,think_sft,math,0.3333333333333333,21,asch_history_5
0.8,think_sft,opinion,0.24,25,asch_history_5
0.8,think_sft,reasoning,0.1875,16,asch_history_5
0.8,think_sft,science,0.35294117647058826,17,asch_history_5
0.8,think_sft,truthfulness,0.21428571428571427,28,asch_history_5
1.0,base,general,0.21212121212121213,33,asch_history_5
1.0,base,knowledge,0.2727272727272727,33,asch_history_5
1.0,base,math,0.25,64,asch_history_5
1.0,base,opinion,0.058823529411764705,34,asch_history_5
1.0,base,reasoning,0.19230769230769232,26,asch_history_5
1.0,base,science,0.42857142857142855,28,asch_history_5
1.0,base,truthfulness,0.2413793103448276,29,asch_history_5
1.0,instruct,general,0.15625,32,asch_history_5
1.0,instruct,knowledge,0.26666666666666666,30,asch_history_5
1.0,instruct,math,0.3170731707317073,41,asch_history_5
1.0,instruct,opinion,0.3125,32,asch_history_5
1.0,instruct,reasoning,0.18518518518518517,27,asch_history_5
1.0,instruct,science,0.37037037037037035,27,asch_history_5
1.0,instruct,truthfulness,0.2962962962962963,27,asch_history_5
1.0,instruct_dpo,general,0.22580645161290322,31,asch_history_5
1.0,instruct_dpo,knowledge,0.16666666666666666,30,asch_history_5
1.0,instruct_dpo,math,0.3076923076923077,39,asch_history_5
1.0,instruct_dpo,opinion,0.16,25,asch_history_5
1.0,instruct_dpo,reasoning,0.3333333333333333,27,asch_history_5
1.0,instruct_dpo,science,0.52,25,asch_history_5
1.0,instruct_dpo,truthfulness,0.3793103448275862,29,asch_history_5
1.0,instruct_sft,general,0.058823529411764705,34,asch_history_5
1.0,instruct_sft,knowledge,0.030303030303030304,33,asch_history_5
1.0,instruct_sft,math,0.18181818181818182,33,asch_history_5
1.0,instruct_sft,opinion,0.13793103448275862,29,asch_history_5
1.0,instruct_sft,reasoning,0.23333333333333334,30,asch_history_5
1.0,instruct_sft,science,0.32142857142857145,28,asch_history_5
