variant,contrast,a,b,n_pairs,p_abandon_a,p_abandon_b,diff,lo,hi,mcnemar_b,mcnemar_c,mcnemar_p,p_holm,set
base,SINGLE CLAIM vs 5 REPEATS (ctrl sys): auth_trust vs unanimous_plain,authority_zhu_unbiased_trust,asch_zhu_unbiased_unanimous_plain,99,0.6161616161616161,0.8686868686868687,-0.25252525252525254,-0.35353535353535354,-0.15151515151515152,5,30,2.2361520677804947e-05,0.0002459767274558544,T=0
base,FRAME+SYS: prior-users/warn vs participant/ctrl (5 ident both),asch_history_5,asch_zhu_unbiased_unanimous_plain,99,0.6363636363636364,0.8686868686868687,-0.23232323232323232,-0.3333333333333333,-0.13131313131313133,5,28,6.618769839406013e-05,0.0006618769839406013,T=0
base,REPETITION 1 vs 5 (frame const),asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_plain,99,0.7373737373737373,0.8686868686868687,-0.13131313131313133,-0.23232323232323232,-0.030303030303030304,8,21,0.0241195447742939,0.2170759029686451,T=0
base,TONE: uncertain vs plain,asch_zhu_unbiased_unanimous_uncertain,asch_zhu_unbiased_unanimous_plain,99,0.9494949494949495,0.8686868686868687,0.08080808080808081,0.010101010101010102,0.15151515151515152,11,3,0.057373046875,0.458984375,T=0
base,CONSENSUS: DA(4+1) vs unanimous_plain,asch_zhu_unbiased_da,asch_zhu_unbiased_unanimous_plain,99,0.9191919191919192,0.8686868686868687,0.050505050505050504,-0.010101010101010102,0.1111111111111111,7,2,0.1796875,0.617719317029696,T=0
base,SYS PROMPT+wording: auth_bias(warn) vs auth_trust(ctrl),authoritative_bias,authority_zhu_unbiased_trust,99,0.6868686868686869,0.6161616161616161,0.0707070707070707,-0.04040404040404041,0.1919191919191919,21,14,0.31050465907901537,0.617719317029696,T=0
base,SINGLE CLAIM vs 5 REPEATS (warn sys): auth_bias vs asch_history_5,authoritative_bias,asch_history_5,99,0.6868686868686869,0.6363636363636364,0.050505050505050504,-0.050505050505050504,0.15151515151515152,16,11,0.44206833839416504,0.617719317029696,T=0
base,CONSENSUS: diverse vs unanimous_plain,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_unanimous_plain,99,0.8282828282828283,0.8686868686868687,-0.04040404040404041,-0.12121212121212122,0.04040404040404041,7,11,0.480682373046875,0.617719317029696,T=0
base,LEXICAL: neutral(varied) vs plain(identical),asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,99,0.898989898989899,0.8686868686868687,0.030303030303030304,-0.04040404040404041,0.10101010101010101,8,5,0.5810546875,0.617719317029696,T=0
base,LEXICAL: confident(varied) vs plain(identical),asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_plain,99,0.898989898989899,0.8686868686868687,0.030303030303030304,-0.04040404040404041,0.1111111111111111,9,6,0.6072387695312499,0.617719317029696,T=0
base,ALT OPTION: trust_da vs trust,authority_zhu_unbiased_trust_da,authority_zhu_unbiased_trust,99,0.6565656565656566,0.6161616161616161,0.04040404040404041,-0.08080808080808081,0.16161616161616163,20,16,0.617719317029696,0.617719317029696,T=0
instruct,LEXICAL: confident(varied) vs plain(identical),asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_plain,128,0.828125,0.6171875,0.2109375,0.1328125,0.2890625,29,2,4.628673195838928e-07,5.091540515422821e-06,T=0
instruct,SINGLE CLAIM vs 5 REPEATS (ctrl sys): auth_trust vs unanimous_plain,authority_zhu_unbiased_trust,asch_zhu_unbiased_unanimous_plain,128,0.4453125,0.6171875,-0.171875,-0.28125,-0.0546875,19,41,0.0062176026593266705,0.06217602659326671,T=0
instruct,SYS PROMPT+wording: auth_bias(warn) vs auth_trust(ctrl),authoritative_bias,authority_zhu_unbiased_trust,128,0.578125,0.4453125,0.1328125,0.03125,0.234375,32,15,0.018623836615006432,0.1676145295350579,T=0
instruct,TONE: uncertain vs plain,asch_zhu_unbiased_unanimous_uncertain,asch_zhu_unbiased_unanimous_plain,128,0.515625,0.6171875,-0.1015625,-0.1875,-0.015625,10,23,0.03508203336969018,0.28065626695752144,T=0
instruct,FRAME+SYS: prior-users/warn vs participant/ctrl (5 ident both),asch_history_5,asch_zhu_unbiased_unanimous_plain,128,0.515625,0.6171875,-0.1015625,-0.203125,0.0078125,18,31,0.08543313315739454,0.5980319321017618,T=0
instruct,SINGLE CLAIM vs 5 REPEATS (warn sys): auth_bias vs asch_history_5,authoritative_bias,asch_history_5,128,0.578125,0.515625,0.0625,-0.03125,0.15625,23,15,0.2558750795433298,0.8641662404406816,T=0
instruct,ALT OPTION: trust_da vs trust,authority_zhu_unbiased_trust_da,authority_zhu_unbiased_trust,128,0.5,0.4453125,0.0546875,-0.0390625,0.1484375,22,15,0.3240086000878364,0.8641662404406816,T=0
instruct,CONSENSUS: diverse vs unanimous_plain,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_unanimous_plain,128,0.65625,0.6171875,0.0390625,-0.046875,0.125,19,14,0.48685024166479707,0.8641662404406816,T=0
instruct,REPETITION 1 vs 5 (frame const),asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_plain,128,0.65625,0.6171875,0.0390625,-0.0546875,0.140625,23,18,0.5327092552361137,0.8641662404406816,T=0
instruct,CONSENSUS: DA(4+1) vs unanimous_plain,asch_zhu_unbiased_da,asch_zhu_unbiased_unanimous_plain,128,0.6328125,0.6171875,0.015625,-0.0625,0.09375,14,12,0.8450189828872681,0.8641662404406816,T=0
instruct,LEXICAL: neutral(varied) vs plain(identical),asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,128,0.6015625,0.6171875,-0.015625,-0.1015625,0.0703125,16,18,0.8641662404406816,0.8641662404406816,T=0
instruct_dpo,SYS PROMPT+wording: auth_bias(warn) vs auth_trust(ctrl),authoritative_bias,authority_zhu_unbiased_trust,142,0.6338028169014085,0.44366197183098594,0.19014084507042253,0.09154929577464789,0.2887323943661972,43,16,0.0005843646280443461,0.006428010908487807,T=0
instruct_dpo,TONE: uncertain vs plain,asch_zhu_unbiased_unanimous_uncertain,asch_zhu_unbiased_unanimous_plain,142,0.4084507042253521,0.5352112676056338,-0.1267605633802817,-0.2112676056338028,-0.04225352112676056,10,28,0.0050976432976312935,0.050976432976312935,T=0
instruct_dpo,SINGLE CLAIM vs 5 REPEATS (warn sys): auth_bias vs asch_history_5,authoritative_bias,asch_history_5,142,0.6338028169014085,0.5070422535211268,0.1267605633802817,0.028169014084507043,0.22535211267605634,36,18,0.01983432672806828,0.17850894055261451,T=0
instruct_dpo,SINGLE CLAIM vs 5 REPEATS (ctrl sys): auth_trust vs unanimous_plain,authority_zhu_unbiased_trust,asch_zhu_unbiased_unanimous_plain,142,0.44366197183098594,0.5352112676056338,-0.09154929577464789,-0.19014084507042253,0.007042253521126761,21,34,0.10478948242660333,0.8383158594128266,T=0
instruct_dpo,LEXICAL: confident(varied) vs plain(identical),asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_plain,142,0.6056338028169014,0.5352112676056338,0.07042253521126761,-0.02112676056338028,0.1619718309859155,27,17,0.17417114727072658,1.0,T=0
instruct_dpo,CONSENSUS: DA(4+1) vs unanimous_plain,asch_zhu_unbiased_da,asch_zhu_unbiased_unanimous_plain,142,0.49295774647887325,0.5352112676056338,-0.04225352112676056,-0.11267605633802817,0.028169014084507043,10,16,0.32693958282470703,1.0,T=0
instruct_dpo,ALT OPTION: trust_da vs trust,authority_zhu_unbiased_trust_da,authority_zhu_unbiased_trust,142,0.49295774647887325,0.44366197183098594,0.04929577464788732,-0.04929577464788732,0.14084507042253522,28,21,0.3916029105474905,1.0,T=0
instruct_dpo,FRAME+SYS: prior-users/warn vs participant/ctrl (5 ident both),asch_history_5,asch_zhu_unbiased_unanimous_plain,142,0.5070422535211268,0.5352112676056338,-0.028169014084507043,-0.1267605633802817,0.07042253521126761,22,26,0.6654658120766188,1.0,T=0
instruct_dpo,CONSENSUS: diverse vs unanimous_plain,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_unanimous_plain,142,0.5492957746478874,0.5352112676056338,0.014084507042253521,-0.06338028169014084,0.09154929577464789,17,15,0.860050065908581,1.0,T=0
instruct_dpo,REPETITION 1 vs 5 (frame const),asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_plain,142,0.5211267605633803,0.5352112676056338,-0.014084507042253521,-0.11267605633802817,0.08450704225352113,26,28,0.8919231511047488,1.0,T=0
instruct_dpo,LEXICAL: neutral(varied) vs plain(identical),asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,142,0.528169014084507,0.5352112676056338,-0.007042253521126761,-0.09154929577464789,0.07042253521126761,17,18,1.0,1.0,T=0
instruct_sft,LEXICAL: confident(varied) vs plain(identical),asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_plain,146,0.8424657534246576,0.6986301369863014,0.14383561643835616,0.0684931506849315,0.2191780821917808,27,6,0.0003240634687244892,0.003249142318964005,T=0
instruct_sft,LEXICAL: neutral(varied) vs plain(identical),asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,146,0.8356164383561644,0.6986301369863014,0.136986301369863,0.0684931506849315,0.2054794520547945,25,5,0.0003249142318964005,0.003249142318964005,T=0
instruct_sft,SINGLE CLAIM vs 5 REPEATS (ctrl sys): auth_trust vs unanimous_plain,authority_zhu_unbiased_trust,asch_zhu_unbiased_unanimous_plain,146,0.5273972602739726,0.6986301369863014,-0.17123287671232876,-0.2602739726027397,-0.0821917808219178,12,37,0.0004697573180081349,0.004227815862073214,T=0
