variant,condition,reasoning_order,total,conforming,conformity_rate
think,asch_history_5,answer_first,667,215,0.3223
think,asch_history_5,social_first,299,80,0.2676
think,asch_history_5,answer_only,386,88,0.228
think,asch_history_5,social_only,507,141,0.2781
think,asch_history_5,neither,541,69,0.1275
think,asch_zhu_unbiased_da,answer_first,537,170,0.3166
think,asch_zhu_unbiased_da,social_first,671,140,0.2086
think,asch_zhu_unbiased_da,answer_only,150,22,0.1467
think,asch_zhu_unbiased_da,social_only,651,92,0.1413
think,asch_zhu_unbiased_da,neither,391,92,0.2353
think,asch_zhu_unbiased_diverse_plain,answer_first,523,180,0.3442
think,asch_zhu_unbiased_diverse_plain,social_first,587,149,0.2538
think,asch_zhu_unbiased_diverse_plain,answer_only,166,33,0.1988
think,asch_zhu_unbiased_diverse_plain,social_only,709,130,0.1834
think,asch_zhu_unbiased_diverse_plain,neither,415,99,0.2386
think,asch_zhu_unbiased_qd,answer_first,666,303,0.455
think,asch_zhu_unbiased_qd,social_first,584,136,0.2329
think,asch_zhu_unbiased_qd,answer_only,172,29,0.1686
think,asch_zhu_unbiased_qd,social_only,609,112,0.1839
think,asch_zhu_unbiased_qd,neither,369,81,0.2195
think,asch_zhu_unbiased_unanimous_confident,answer_first,492,191,0.3882
think,asch_zhu_unbiased_unanimous_confident,social_first,744,225,0.3024
think,asch_zhu_unbiased_unanimous_confident,answer_only,125,24,0.192
think,asch_zhu_unbiased_unanimous_confident,social_only,650,139,0.2138
think,asch_zhu_unbiased_unanimous_confident,neither,389,80,0.2057
think,asch_zhu_unbiased_unanimous_neutral,answer_first,530,217,0.4094
think,asch_zhu_unbiased_unanimous_neutral,social_first,705,217,0.3078
think,asch_zhu_unbiased_unanimous_neutral,answer_only,157,31,0.1975
think,asch_zhu_unbiased_unanimous_neutral,social_only,622,155,0.2492
think,asch_zhu_unbiased_unanimous_neutral,neither,386,93,0.2409
think,asch_zhu_unbiased_unanimous_plain,answer_first,541,225,0.4159
think,asch_zhu_unbiased_unanimous_plain,social_first,679,202,0.2975
think,asch_zhu_unbiased_unanimous_plain,answer_only,162,32,0.1975
think,asch_zhu_unbiased_unanimous_plain,social_only,603,116,0.1924
think,asch_zhu_unbiased_unanimous_plain,neither,415,98,0.2361
think,asch_zhu_unbiased_unanimous_uncertain,answer_first,488,163,0.334
think,asch_zhu_unbiased_unanimous_uncertain,social_first,686,188,0.2741
think,asch_zhu_unbiased_unanimous_uncertain,answer_only,168,28,0.1667
think,asch_zhu_unbiased_unanimous_uncertain,social_only,636,125,0.1965
think,asch_zhu_unbiased_unanimous_uncertain,neither,422,111,0.263
think,authoritative_bias,answer_first,611,193,0.3159
think,authoritative_bias,social_first,472,113,0.2394
think,authoritative_bias,answer_only,268,45,0.1679
think,authoritative_bias,social_only,567,101,0.1781
think,authoritative_bias,neither,482,57,0.1183
think,authority_zhu_unbiased_trust,answer_first,585,305,0.5214
think,authority_zhu_unbiased_trust,social_first,455,154,0.3385
think,authority_zhu_unbiased_trust,answer_only,274,75,0.2737
think,authority_zhu_unbiased_trust,social_only,627,174,0.2775
think,authority_zhu_unbiased_trust,neither,459,99,0.2157
think,authority_zhu_unbiased_trust_da,answer_first,613,273,0.4454
think,authority_zhu_unbiased_trust_da,social_first,398,95,0.2387
think,authority_zhu_unbiased_trust_da,answer_only,290,85,0.2931
think,authority_zhu_unbiased_trust_da,social_only,607,108,0.1779
think,authority_zhu_unbiased_trust_da,neither,492,98,0.1992
think_dpo,asch_history_5,answer_first,677,180,0.2659
