idx,source_dataset,domain_canonical,prompt_id,w_struct_jaccard,l_struct_jaccard,delta_struct_jaccard,w_ngram_overlap,l_ngram_overlap,delta_ngram_overlap,w_sycophancy,l_sycophancy,delta_sycophancy,w_correction,l_correction,delta_correction,w_affirm_prefix,l_affirm_prefix,w_max_run,l_max_run,delta_max_run,w_consensus_hits,l_consensus_hits,delta_consensus_hits,w_has_run_5,l_has_run_5,delta_has_run_5,w_peer_frame_count,l_peer_frame_count,delta_peer_frame_count,w_correction_per_1k,l_correction_per_1k,delta_correction_per_1k,chosen_model,rejected_model,preference_type
0,unknown,unmapped,correct-python-sft-187k-request-70-606,0.0000,0.0000,0.0000,0.0366,0.0882,0.0516,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
1,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-99-738,0.2500,0.3333,0.0833,0.0081,0.0190,0.0109,1,0,-1,2,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.3224,0.0000,0.3224,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
2,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-20-946,1.0000,1.0000,0.0000,0.2742,0.1227,-0.1515,0,0,0,0,0,0,0,0,3,2,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-14b,yi-34b,llm_judged
3,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-21-822,0.0000,0.0000,0.0000,0.0101,0.0614,0.0513,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.3441,0.0000,0.3441,qwen3-no_reasoning-1.7b,olmo2-1b,llm_judged
4,unknown,unmapped,tulu-3-sft-personas-math-request-104-916,0.4000,0.4000,0.0000,0.0764,0.0904,0.0140,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
5,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-75-392,0.0000,0.0000,0.0000,0.0639,0.0824,0.0184,0,0,0,0,0,0,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-34b,olmo2-1b,llm_judged
6,unknown,unmapped,correct-python-sft-187k-request-139-892,0.2000,0.2500,0.0500,0.0723,0.0402,-0.0321,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-34b,gpt-120b,llm_judged
7,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-73-284,0.5000,0.2500,-0.2500,0.1250,0.0495,-0.0755,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
8,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-62-246,0.2500,0.5000,0.2500,0.1305,0.0829,-0.0476,2,0,-2,4,1,3,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.2797,0.2747,0.0049,qwen3-no_reasoning-4b,yi-34b,llm_judged
9,unknown,unmapped,flan_v2_converted-request-84-731,0.0000,1.0000,1.0000,0.3636,0.5538,0.1902,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-14b,olmo2-13b,llm_judged
10,unknown,unmapped,Wildchat-1M-gpt-4.1-regenerated-english-request-297-509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-4b,olmo2-1b,llm_judged
11,unknown,unmapped,flan_v2_converted-request-44-687,0.0000,0.5000,0.5000,0.0000,0.9250,0.9250,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
12,unknown,unmapped,Wildchat-1m-gpt-4.1-regeneration-not-english-request-272-485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-coder-no_reasoning-30b-3a,phi4-mini-instruct,llm_judged
13,unknown,unmapped,correct-python-sft-187k-request-62-219,0.0000,0.0000,0.0000,0.1157,0.0543,-0.0614,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-1.7b,olmo2-13b,llm_judged
14,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-37-876,0.0000,0.0000,0.0000,0.9605,0.3043,-0.6562,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
15,unknown,unmapped,Wildchat-1m-gpt-4.1-regeneration-not-english-request-206-154,0.0000,0.0000,0.0000,0.0457,0.0000,-0.0457,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-4b,olmo2-1b,llm_judged
