item_id,dataset_name,domain,ground_truth_text
"arc_arc_challenge_0000","arc","science","Planetary days will become shorter."
"arc_arc_challenge_0001","arc","science","buildings will be made safer"
"arc_arc_challenge_0002","arc","science","Chlorophyll in the leaf captures light energy."
"arc_arc_challenge_0003","arc","science","the independent (manipulated) variable"
"arc_arc_challenge_0004","arc","science","They have each gained one-half of their maximum kinetic energy."
"arc_arc_challenge_0005","arc","science","an infectious, cell-cycle disease"
"arc_arc_challenge_0006","arc","science","to store food that will be eaten over the winter months"
"arc_arc_challenge_0007","arc","science","The climate in the area was once tropical."
"arc_arc_challenge_0008","arc","science","Populations of mice and rats would increase."
"arc_arc_challenge_0009","arc","science","the atom"
"arc_arc_challenge_0010","arc","science","size differences"
"arc_arc_challenge_0011","arc","science","The Sun influences the formation of waves."
"arc_arc_challenge_0012","arc","science","78° F"
"arc_arc_challenge_0013","arc","science","Make a table for recording data."
"arc_arc_challenge_0014","arc","science","water vapor"
"arc_arc_challenge_0015","arc","science","0 degrees Celsius"
"arc_arc_challenge_0016","arc","science","analyze new data as it becomes available"
"arc_arc_challenge_0017","arc","science","from the tea to the ice"
"arc_arc_challenge_0018","arc","science","the price of boards will increase"
"arc_arc_challenge_0019","arc","science","continued experimentation."
"arc_arc_challenge_0020","arc","science","breaking down wastes"
"arc_arc_challenge_0021","arc","science","2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)"
"arc_arc_challenge_0022","arc","science","Penguins can live in climates with freezing temperatures."
"arc_arc_challenge_0023","arc","science","73°F."
"arc_arc_challenge_0024","arc","science","water."
"arc_arc_challenge_0025","arc","science","It became a solid."
"arc_arc_challenge_0026","arc","science","It is a seasonal weather feature with irregular occurrences."
"arc_arc_challenge_0027","arc","science","Object 1, Object 3, Object 2"
"arc_arc_challenge_0028","arc","science","Plankton release oxygen."
"arc_arc_challenge_0029","arc","science","Wood is buoyant."
"arc_arc_challenge_0030","arc","science","the type of environment in which the organisms lived"
"arc_arc_challenge_0031","arc","science","its ability to exist as a liquid"
"arc_arc_challenge_0032","arc","science","Air is a mixture of gases."
"arc_arc_challenge_0033","arc","science","It helps explain how things work."
"arc_arc_challenge_0034","arc","science","sunrise"
"arc_arc_challenge_0035","arc","science","Volcanism also characterizes the region."
"arc_arc_challenge_0036","arc","science","The sun would be tiny next to one of the largest stars."
"arc_arc_challenge_0037","arc","science","The solid planets are closer to the Sun."
"arc_arc_challenge_0038","arc","science","to convert energy from sunlight into food energy"
"arc_arc_challenge_0039","arc","science","Hydraulic systems involve liquids and pneumatic systems involve gases."
"arc_arc_challenge_0040","arc","science","responding to its environment"
"arc_arc_challenge_0041","arc","science","The Moon rises."
"arc_arc_challenge_0042","arc","science","13"
"arc_arc_challenge_0043","arc","science","the distance between molecules in the medium"
"arc_arc_challenge_0044","arc","science","Kinetic energy increases and potential energy decreases."
"arc_arc_challenge_0045","arc","science","heat."
"arc_arc_challenge_0046","arc","science","satellite"
"arc_arc_challenge_0047","arc","science","stopwatch"
"arc_arc_challenge_0048","arc","science","analogous structures."
"arc_arc_challenge_0049","arc","science","A tiger hunts a deer."
"commonsense_qa_0000","social_conventions_minimal","preference","bank"
"commonsense_qa_0001","social_conventions_minimal","preference","complete job"
"commonsense_qa_0002","social_conventions_minimal","preference","bookstore"
"commonsense_qa_0003","social_conventions_minimal","preference","fast food restaurant"
"commonsense_qa_0004","social_conventions_minimal","preference","midwest"
"commonsense_qa_0005","social_conventions_minimal","preference","great britain"
