model_short,model_id,variant,condition,n_total,n_correct,n_incorrect,n_refusal,n_endorsed,n_unknown,fixed_N,correct_rate,correct_ci_lo,correct_ci_hi,error_rate,error_ci_lo,error_ci_hi,refusal_rate,refusal_ci_lo,refusal_ci_hi,endorsement_rate,endorsement_ci_lo,endorsement_ci_hi
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,asch_zhu_unanimous_confident,400,270,93,9,19,28,400,0.675,0.6276,0.719,0.2325,0.1938,0.2763,0.0225,0.0119,0.0422,0.0475,0.0306,0.073
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,authoritative_bias,400,261,98,19,22,22,400,0.6525,0.6046,0.6975,0.245,0.2054,0.2894,0.0475,0.0306,0.073,0.055,0.0366,0.0819
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,authority_trust,400,270,97,20,21,13,400,0.675,0.6276,0.719,0.2425,0.2031,0.2868,0.05,0.0326,0.076,0.0525,0.0346,0.0789
Claude-Sonnet-4,anthropic/claude-sonnet-4,claude_sonnet_4,control,400,260,91,38,10,11,400,0.65,0.602,0.6951,0.2275,0.1891,0.2711,0.095,0.07,0.1277,0.025,0.0136,0.0454
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,asch_zhu_unanimous_confident,400,159,226,15,162,0,400,0.3975,0.3507,0.4462,0.565,0.516,0.6127,0.0375,0.0229,0.0609,0.405,0.358,0.4538
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,authoritative_bias,400,249,145,6,57,0,400,0.6225,0.574,0.6686,0.3625,0.3169,0.4107,0.015,0.0069,0.0323,0.1425,0.1116,0.1802
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,authority_trust,400,240,152,7,77,1,400,0.6,0.5513,0.6468,0.38,0.3338,0.4285,0.0175,0.0085,0.0357,0.1925,0.1569,0.234
GPT-4o-Mini,openai/gpt-4o-mini,gpt4o_mini,control,400,240,140,19,24,1,400,0.6,0.5513,0.6468,0.35,0.3049,0.398,0.0475,0.0306,0.073,0.06,0.0406,0.0877
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,asch_zhu_unanimous_confident,400,184,154,18,101,44,400,0.46,0.4118,0.509,0.385,0.3386,0.4336,0.045,0.0287,0.07,0.2525,0.2124,0.2973
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,authoritative_bias,400,219,114,43,55,24,400,0.5475,0.4985,0.5956,0.285,0.243,0.3311,0.1075,0.0808,0.1417,0.1375,0.1072,0.1747
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,authority_trust,400,229,143,13,65,15,400,0.5725,0.5236,0.6201,0.3575,0.3121,0.4056,0.0325,0.0191,0.0548,0.1625,0.1296,0.2018
Gemini-2.5-Flash-Lite,google/gemini-2.5-flash-lite,gemini_25_flash_lite,control,400,245,107,30,21,18,400,0.6125,0.5639,0.659,0.2675,0.2265,0.3129,0.075,0.053,0.105,0.0525,0.0346,0.0789
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,asch_zhu_unanimous_confident,400,256,119,22,33,3,400,0.64,0.5918,0.6855,0.2975,0.2548,0.3441,0.055,0.0366,0.0819,0.0825,0.0593,0.1136
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,authoritative_bias,400,267,105,19,32,9,400,0.6675,0.6199,0.7119,0.2625,0.2218,0.3077,0.0475,0.0306,0.073,0.08,0.0572,0.1108
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,authority_trust,400,255,111,33,54,1,400,0.6375,0.5893,0.6831,0.2775,0.2359,0.3233,0.0825,0.0593,0.1136,0.135,0.105,0.172
Grok-4.1-Fast,x-ai/grok-4.1-fast,grok_41_fast,control,400,253,91,56,16,0,400,0.6325,0.5842,0.6783,0.2275,0.1891,0.2711,0.14,0.1094,0.1774,0.04,0.0248,0.064
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,asch_zhu_unanimous_confident,400,8,108,284,94,0,400,0.02,0.0102,0.039,0.27,0.2288,0.3155,0.71,0.6637,0.7523,0.235,0.1961,0.279
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,authoritative_bias,400,197,197,3,41,3,400,0.4925,0.4438,0.5413,0.4925,0.4438,0.5413,0.0075,0.0026,0.0218,0.1025,0.0765,0.1361
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,authority_trust,400,125,150,122,54,3,400,0.3125,0.269,0.3595,0.375,0.329,0.4234,0.305,0.2619,0.3518,0.135,0.105,0.172
Llama-3-8B,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,control,400,153,144,102,24,1,400,0.3825,0.3362,0.431,0.36,0.3145,0.4082,0.255,0.2148,0.2999,0.06,0.0406,0.0877
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,asch_zhu_unanimous_confident,400,15,29,356,18,0,400,0.0375,0.0229,0.0609,0.0725,0.051,0.1022,0.89,0.8555,0.917,0.045,0.0287,0.07
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,authoritative_bias,400,214,176,8,75,2,400,0.535,0.486,0.5833,0.44,0.3922,0.489,0.02,0.0102,0.039,0.1875,0.1523,0.2287
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,authority_trust,400,227,162,11,64,0,400,0.5675,0.5185,0.6152,0.405,0.358,0.4538,0.0275,0.0154,0.0486,0.16,0.1273,0.1991
Llama-3.1-70B,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,control,400,245,128,27,20,0,400,0.6125,0.5639,0.659,0.32,0.2762,0.3672,0.0675,0.0468,0.0964,0.05,0.0326,0.076
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,asch_zhu_unanimous_confident,400,184,137,77,98,2,400,0.46,0.4118,0.509,0.3425,0.2977,0.3903,0.1925,0.1569,0.234,0.245,0.2054,0.2894
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,authoritative_bias,400,242,150,1,74,7,400,0.605,0.5563,0.6517,0.375,0.329,0.4234,0.0025,0.0004,0.014,0.185,0.15,0.226
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,authority_trust,400,255,111,30,49,4,400,0.6375,0.5893,0.6831,0.2775,0.2359,0.3233,0.075,0.053,0.105,0.1225,0.0939,0.1583
Llama-4-Maverick,meta-llama/llama-4-maverick,llama4_maverick,control,400,270,118,11,17,1,400,0.675,0.6276,0.719,0.295,0.2524,0.3415,0.0275,0.0154,0.0486,0.0425,0.0267,0.067
OLMo-32B-Instruct,allenai/olmo-3.1-32b-instruct,instruct_32b,asch_zhu_unanimous_confident,400,72,202,126,163,0,400,0.18,0.1454,0.2206,0.505,0.4562,0.5537,0.315,0.2714,0.3621,0.4075,0.3604,0.4563
