variant,contrast,a,b,n_pairs,p_abandon_a,p_abandon_b,diff,lo,hi,mcnemar_b,mcnemar_c,mcnemar_p,p_holm,set
base,SINGLE CLAIM vs 5 REPEATS (ctrl sys): auth_trust vs unanimous_plain,authority_zhu_unbiased_trust,asch_zhu_unbiased_unanimous_plain,636,0.64937106918239,0.8223270440251572,-0.17295597484276728,-0.2169811320754717,-0.13050314465408805,54,164,4.384291186363266e-14,4.822720304999593e-13,pooled
base,FRAME+SYS: prior-users/warn vs participant/ctrl (5 ident both),asch_history_5,asch_zhu_unbiased_unanimous_plain,636,0.6761006289308176,0.8223270440251572,-0.14622641509433962,-0.18867924528301888,-0.10377358490566038,58,151,9.684929558547264e-11,9.684929558547264e-10,pooled
base,REPETITION 1 vs 5 (frame const),asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_plain,636,0.7169811320754716,0.8223270440251572,-0.10534591194968554,-0.14622641509433962,-0.06446540880503145,54,121,4.440351869519168e-07,3.9963166825672515e-06,pooled
base,CONSENSUS: diverse vs unanimous_plain,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_unanimous_plain,636,0.7562893081761006,0.8223270440251572,-0.0660377358490566,-0.10534591194968554,-0.026729559748427674,62,104,0.0013880533620919005,0.011104426896735204,pooled
base,TONE: uncertain vs plain,asch_zhu_unbiased_unanimous_uncertain,asch_zhu_unbiased_unanimous_plain,636,0.8694968553459119,0.8223270440251572,0.04716981132075472,0.012578616352201259,0.08022798742138307,79,49,0.01009013980943857,0.07063097866606999,pooled
base,LEXICAL: confident(varied) vs plain(identical),asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_plain,636,0.8522012578616353,0.8223270440251572,0.029874213836477988,-0.0047169811320754715,0.06289308176100629,71,52,0.10420386640532604,0.6252231984319563,pooled
base,ALT OPTION: trust_da vs trust,authority_zhu_unbiased_trust_da,authority_zhu_unbiased_trust,636,0.6839622641509434,0.64937106918239,0.03459119496855346,-0.0110062893081761,0.07861635220125786,118,96,0.15096751781649717,0.6454967635578218,pooled
base,CONSENSUS: DA(4+1) vs unanimous_plain,asch_zhu_unbiased_da,asch_zhu_unbiased_unanimous_plain,636,0.8333333333333334,0.8223270440251572,0.0110062893081761,-0.020440251572327043,0.04245283018867924,57,50,0.5620926850537897,0.6454967635578218,pooled
base,SYS PROMPT+wording: auth_bias(warn) vs auth_trust(ctrl),authoritative_bias,authority_zhu_unbiased_trust,636,0.6635220125786163,0.64937106918239,0.014150943396226415,-0.0330188679245283,0.06132075471698113,121,112,0.6003061582717707,0.6454967635578218,pooled
base,SINGLE CLAIM vs 5 REPEATS (warn sys): auth_bias vs asch_history_5,authoritative_bias,asch_history_5,636,0.6635220125786163,0.6761006289308176,-0.012578616352201259,-0.055031446540880505,0.029874213836477988,92,100,0.6135472375934597,0.6454967635578218,pooled
base,LEXICAL: neutral(varied) vs plain(identical),asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,636,0.8317610062893082,0.8223270440251572,0.009433962264150943,-0.025157232704402517,0.04245283018867924,62,56,0.6454967635578218,0.6454967635578218,pooled
instruct,FRAME+SYS: prior-users/warn vs participant/ctrl (5 ident both),asch_history_5,asch_zhu_unbiased_unanimous_plain,802,0.46633416458852867,0.672069825436409,-0.2057356608478803,-0.24937655860349128,-0.16209476309226933,93,258,4.465338583069887e-19,4.911872441376876e-18,pooled
