location,uuid,model_id,variant,temperature,total_trials,heuristic_labels,judge_labels,judge_cov_%,comparable,agree,disagree,agreement_%,heur0_judge1,heur1_judge0,parse_errors,wrong_endorsed,null_endorsed,n_conditions,n_datasets,judge_models
runs,a34ad9b1-abd0-4119-96c6-7b1cd61d7f4d,allenai/olmo-3.1-32b-think,think_32b,0.0,1600,1400,1565,97.8,1368,747,621,54.6,598,23,0,155,51,4,8,openai/gpt-oss-20b:1600
runs,7db9896e-9e3b-439f-88e3-74fe25ea2bad,allenai/olmo-3.1-32b-think,think_32b,0.6,1600,1400,1570,98.1,1372,751,621,54.7,599,22,0,162,66,4,8,openai/gpt-oss-20b:1600
runs,1c2e5cb6-0372-4835-bbb7-7230c55517e4,allenai/olmo-3.1-32b-instruct,instruct_32b,0.0,1600,1400,1506,94.1,1313,845,468,64.4,459,9,0,285,57,4,8,openai/gpt-oss-20b:1600
runs,62187f52-7a7e-4db0-a269-d14d8e887b1b,allenai/olmo-3.1-32b-instruct,instruct_32b,0.6,1600,1400,1505,94.1,1314,835,479,63.5,466,13,0,294,52,4,8,openai/gpt-oss-20b:1600
runs,1899a883-82e4-45f3-833a-d6403cf1ac95,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.0,1600,1400,1410,88.1,1223,930,293,76.0,277,16,0,213,94,4,8,openai/gpt-oss-20b:1600
runs,70860876-c5c2-4445-a59d-e44ae8094887,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,1600,1400,1439,89.9,1245,973,272,78.2,260,12,0,224,79,4,8,openai/gpt-oss-20b:1600
runs,3a0404f7-bd47-4b25-b2e2-5501e550566f,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,1600,1400,1447,90.4,1263,842,421,66.7,412,9,0,177,80,4,8,openai/gpt-oss-20b:1596; qwen/qwen3.5-flash-02-23:4
runs,49d07104-c14c-4a8b-a013-ae0783c5f3e8,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,1600,1400,1460,91.2,1268,809,459,63.8,448,11,0,174,62,4,8,openai/gpt-oss-20b:1600
runs,485ddc2d-6cae-4715-835e-76ab72e38159,meta-llama/llama-4-maverick,llama4_maverick,0.0,1600,1400,1579,98.7,1382,836,546,60.5,544,2,0,238,14,4,8,openai/gpt-oss-20b:1600
runs,c2ce0f85-8f67-40f2-a82d-e136927cf6f5,meta-llama/llama-4-maverick,llama4_maverick,0.6,1600,1400,1581,98.8,1383,858,525,62.0,520,5,0,257,12,4,8,openai/gpt-oss-20b:1600
runs,e043fbf6-27eb-410c-8da7-bc0f9172ab0b,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,1600,1400,1457,91.1,1289,809,480,62.8,472,8,0,242,109,4,8,openai/gpt-oss-20b:1600
runs,d71e75b1-17c5-4789-8ee7-13b29ef18359,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,1600,1400,1441,90.1,1276,793,483,62.1,472,11,0,235,109,4,8,openai/gpt-oss-20b:1600
