pillar,metric,stage,value,ci_lo,ci_hi,effect_size_label,interpretation
I,max_run_geq_5_rate,SFT:Verifiable Reasoning,0.059155,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Verifiable Reasoning,0.401638,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Verifiable Reasoning,0.5,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Verifiable Reasoning,0.0,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Verifiable Reasoning,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Verifiable Reasoning,0.083894,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Wildchat,0.003896,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Wildchat,0.66005,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Wildchat,0.0,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Wildchat,0.004494,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Wildchat,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Wildchat,0.439208,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Dolci Instruct Python Algorithms,0.001578,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Dolci Instruct Python Algorithms,0.020084,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Dolci Instruct Python Algorithms,0.5,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Dolci Instruct Python Algorithms,0.0,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Dolci Instruct Python Algorithms,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Dolci Instruct Python Algorithms,0.0,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Logic Puzzles,2.5e-05,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Logic Puzzles,0.286749,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Logic Puzzles,1.0,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Logic Puzzles,0.0,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Logic Puzzles,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Logic Puzzles,0.002477,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Tulu 3 Persona MATH,0.010476,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Tulu 3 Persona MATH,0.82642,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Tulu 3 Persona MATH,0.4,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Tulu 3 Persona MATH,0.090598,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Tulu 3 Persona MATH,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Tulu 3 Persona MATH,0.034103,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Dolci Instruct Precise IF,0.00527,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Dolci Instruct Precise IF,0.657461,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Dolci Instruct Precise IF,0.4,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Dolci Instruct Precise IF,0.013514,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Dolci Instruct Precise IF,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Dolci Instruct Precise IF,0.031238,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Evol CodeAlpaca,0.005015,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Evol CodeAlpaca,0.389943,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Evol CodeAlpaca,0.25,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Evol CodeAlpaca,0.014925,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Evol CodeAlpaca,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Evol CodeAlpaca,0.356558,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Aya,0.00147,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Aya,0.353523,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Aya,1.0,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Aya,0.0,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Aya,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Aya,0.00098,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Dolci Instruct OpenThoughts3+ Science,0.003022,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Dolci Instruct OpenThoughts3+ Science,0.922929,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Dolci Instruct OpenThoughts3+ Science,0.2,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Dolci Instruct OpenThoughts3+ Science,0.024316,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Dolci Instruct OpenThoughts3+ Science,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Dolci Instruct OpenThoughts3+ Science,0.0148,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:FLAN,0.000811,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:FLAN,0.091735,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:FLAN,0.0,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:FLAN,0.0,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:FLAN,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:FLAN,0.002012,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:OpenMathInstruct 2,0.00024,,,,has_run_5_response rate
I,structural_jaccard_median,SFT:OpenMathInstruct 2,0.0,,,,struct Jaccard median
